County,Town/Village/City,Test Location in Home,# of Homes Tested,Average Radon (pCi/L),GEO Mean,GEO S.D.,Highest (pCi/L),< 4.0 pCi/L,>=4 and < 20pCi/L,>=20pCi/L
NIAGARA,HARTLAND,Basement,18,6.72,2.43,3.79,65.4,11,6,1
NIAGARA,HARTLAND,1st Floor,3,1.2,1.19,1.16,1.3,3,0,0
NIAGARA,LEWISTON,Basement,151,2.58,1.54,2.73,20.2,128,22,1
NIAGARA,LEWISTON,1st Floor,27,1.59,1,2.92,7.2,26,1,0
NIAGARA,LOCKPORT,Basement,183,2.78,1.47,2.76,50.1,158,21,4
NIAGARA,LOCKPORT,1st Floor,123,0.9,0.48,3.01,13,120,3,0
NIAGARA,NEWFANE,Basement,60,3.07,1.92,2.75,16.6,45,15,0
NIAGARA,NEWFANE,1st Floor,10,1.15,0.71,3.26,2.6,10,0,0
NIAGARA,NIAGARA,Basement,83,1.05,0.75,2.3,6.3,81,2,0
NIAGARA,NIAGARA,1st Floor,8,0.55,0.51,1.5,0.8,8,0,0
NIAGARA,NIAGARA FALLS,Basement,642,1.37,0.89,2.45,38.6,609,32,1
NIAGARA,NIAGARA FALLS,1st Floor,77,0.98,0.49,3.2,12.1,75,2,0
NIAGARA,NO. TONAWANDA,Basement,208,1.84,1.17,2.61,15.6,184,24,0
NIAGARA,NO. TONAWANDA,1st Floor,95,0.59,0.38,2.16,8.1,93,2,0
NIAGARA,PENDLETON,Basement,20,2.26,1.23,3.03,16.8,19,1,0
NIAGARA,PENDLETON,1st Floor,3,1.23,1.1,1.83,2,3,0,0
NIAGARA,PORTER,Basement,78,2.58,1.6,2.71,20.6,64,13,1
NIAGARA,PORTER,1st Floor,26,1.01,0.39,3.77,9.5,25,1,0
NIAGARA,ROYALTON,Basement,26,2.3,1.56,2.47,11.7,24,2,0
NIAGARA,ROYALTON,1st Floor,8,0.45,0.35,2.18,1,8,0,0
NIAGARA,SOMERSET,Basement,12,2.76,1.82,2.21,15.1,11,1,0
NIAGARA,SOMERSET,1st Floor,3,0.53,0.46,2.06,0.7,3,0,0
NIAGARA,WHEATFIELD,Basement,37,0.95,0.7,2.24,3.6,37,0,0
NIAGARA,WHEATFIELD,1st Floor,3,0.83,0.81,1.35,1.1,3,0,0
NIAGARA,WILSON,Basement,49,1.57,1.08,2.5,9.2,47,2,0
NIAGARA,WILSON,1st Floor,5,0.68,0.58,1.9,1.2,5,0,0
ONEIDA,ANNSVILLE,Basement,16,4.69,2.07,3.57,31.2,10,5,1
ONEIDA,ANNSVILLE,1st Floor,4,0.48,0.41,1.92,0.9,4,0,0
ONEIDA,AUGUSTA,Basement,20,4.05,2.5,3.39,15.2,12,8,0
ONEIDA,AUGUSTA,1st Floor,6,1.55,1,2.87,4.7,5,1,0
ONEIDA,AVA,Basement,19,8.87,4.06,3.72,40.9,11,4,4
ONEIDA,AVA,1st Floor,8,5.7,1.73,6.33,26,5,2,1
ONEIDA,BOONVILLE,Basement,29,4.13,2.03,3.39,23.3,22,5,2
ONEIDA,BOONVILLE,1st Floor,16,1.46,0.96,2.75,5,14,2,0
ONEIDA,BRIDGEWATER,Basement,11,9.35,6.45,2.62,24.1,3,6,2
ONEIDA,BRIDGEWATER,1st Floor,5,3.7,2.11,5.55,6.1,3,2,0
ONEIDA,CAMDEN,Basement,27,4.86,2.93,3.01,15.7,15,12,0
ONEIDA,CAMDEN,1st Floor,16,2.31,1.31,3.45,9.3,13,3,0
ONEIDA,DEERFIELD,Basement,32,9.84,4.2,3.86,87.5,13,16,3
ONEIDA,DEERFIELD,1st Floor,11,4.55,1.65,4.35,28.3,8,2,1
ONEIDA,FLORENCE,Basement,1,2.3,2.3,1,2.3,1,0,0
ONEIDA,FLORENCE,1st Floor,1,0.1,0.1,1,0.1,1,0,0
ONEIDA,FLOYD,Basement,14,13.71,4.54,4.13,107.8,7,5,2
ONEIDA,FLOYD,1st Floor,4,5.08,1.45,5.65,18.3,3,1,0
ONEIDA,FORESTPORT,Basement,3,1.07,0.76,3.21,1.7,3,0,0
ONEIDA,FORESTPORT,1st Floor,4,0.53,0.47,1.7,0.8,4,0,0
ONEIDA,KIRKLAND,Basement,142,6.26,3.71,2.81,49.3,76,58,8
ONEIDA,KIRKLAND,1st Floor,45,3.3,1.74,3.54,15.3,32,13,0
ONEIDA,LEE,Basement,55,13.61,6.85,3.56,87,24,20,11
ONEIDA,LEE,1st Floor,16,14.69,6.22,5.94,60.5,4,6,6
ONEIDA,MARCY,Basement,71,12.3,2.4,3.67,601.4,49,21,1
ONEIDA,MARCY,1st Floor,24,2.8,1.38,2.92,28.8,22,1,1
ONEIDA,MARSHALL,Basement,20,4.04,2.6,2.88,14.4,13,7,0
ONEIDA,MARSHALL,1st Floor,7,1.7,0.67,5.22,6.4,6,1,0
ONEIDA,NEW HARTFORD,Basement,269,4.44,2.72,2.75,40.6,178,85,6
ONEIDA,NEW HARTFORD,1st Floor,72,3.17,1.54,3.56,30.8,53,18,1
ONEIDA,PARIS,Basement,68,8.38,5.16,2.74,55.8,27,35,6
ONEIDA,PARIS,1st Floor,20,3.95,1.75,3.14,32.4,17,2,1
ONEIDA,REMSEN,Basement,34,4.76,3.1,2.62,22.4,20,13,1
ONEIDA,REMSEN,1st Floor,22,0.96,0.56,2.99,4.8,21,1,0
ONEIDA,ROME,Basement,454,9.37,4.55,3.62,115.2,204,196,54
ONEIDA,ROME,1st Floor,196,4.65,1.81,4.58,65.8,125,64,7
ONEIDA,SANGERFIELD,Basement,21,4.45,3.9,1.66,13.8,12,9,0
ONEIDA,SANGERFIELD,1st Floor,17,1.68,1.32,2.09,5.6,16,1,0
ONEIDA,SHERRILL,Basement,60,2.42,1.59,2.5,13.2,48,12,0
ONEIDA,SHERRILL,1st Floor,14,0.79,0.63,2.16,1.8,14,0,0
ONEIDA,STEUBEN,Basement,3,13.6,7.9,4.32,28.3,1,1,1
ONEIDA,STEUBEN,1st Floor,4,1.48,0.78,4.68,3.4,4,0,0
ONEIDA,TRENTON,Basement,62,7.1,3.43,3.03,92.2,35,24,3
ONEIDA,TRENTON,1st Floor,21,1.33,0.77,3.24,4.6,20,1,0
ONEIDA,UTICA,Basement,480,4.39,2.18,3.21,57,345,118,17
ONEIDA,UTICA,1st Floor,149,2.16,0.91,3.69,26.1,129,19,1
ONEIDA,VERNON,Basement,56,3.8,2.25,3.07,20.2,38,17,1
ONEIDA,VERNON,1st Floor,15,3.25,1.83,3.52,9.1,9,6,0
ONEIDA,VERONA,Basement,32,3.08,1.83,2.64,22.2,26,5,1
ONEIDA,VERONA,1st Floor,23,1.41,0.65,3.11,12.6,21,2,0
ONEIDA,VIENNA,Basement,7,1.29,1.08,1.91,2.4,7,0,0
ONEIDA,VIENNA,1st Floor,3,0.6,0.59,1.18,0.7,3,0,0
ONEIDA,WESTERN,Basement,21,10.96,6.61,3.14,30.8,8,10,3
ONEIDA,WESTERN,1st Floor,11,5.16,2.71,3.52,19.3,7,4,0
ONEIDA,WESTMORELAND,Basement,42,3.96,2.38,2.68,24.4,29,11,2
ONEIDA,WESTMORELAND,1st Floor,15,1.53,0.59,4.22,9.6,13,2,0
ONEIDA,WHITESTOWN,Basement,240,3.46,2.31,2.55,25.3,172,65,3
ONEIDA,WHITESTOWN,1st Floor,83,2.89,1.07,3.58,83.1,75,7,1
ONONDAGA,CAMILLUS,Basement,"1,103",11.39,5.92,3.39,274.6,361,589,153
ONONDAGA,CAMILLUS,1st Floor,193,7.36,3.73,3.87,43.4,89,88,16
ONONDAGA,CICERO,Basement,321,2.03,1.34,2.39,30.5,297,22,2
ONONDAGA,CICERO,1st Floor,54,1.09,0.65,2.69,9.6,51,3,0
ONONDAGA,CLAY,Basement,352,1.98,1.19,2.64,30.4,319,31,2
ONONDAGA,CLAY,1st Floor,35,1.29,0.7,2.94,10.6,32,3,0
ONONDAGA,DE WITT,Basement,867,9.58,3.65,3.85,346.7,455,333,79
ONONDAGA,DE WITT,1st Floor,205,6.39,1.74,4.83,233.6,148,48,9
ONONDAGA,ELBRIDGE,Basement,148,13.76,6.28,3.75,96.1,54,66,28
ONONDAGA,ELBRIDGE,1st Floor,39,2.67,1.38,3.25,25.9,33,5,1
ONONDAGA,FABIUS,Basement,29,5.42,3.14,3.46,26.5,14,14,1
ONONDAGA,FABIUS,1st Floor,14,3.61,2.74,2.28,10.8,9,5,0
ONONDAGA,GEDDES,Basement,312,8.95,4.63,3.4,99.3,134,147,31
ONONDAGA,GEDDES,1st Floor,49,4.98,1.88,4.52,53.3,33,14,2
ONONDAGA,LAFAYETTE,Basement,125,6.76,3.97,2.52,95.6,71,46,8
ONONDAGA,LAFAYETTE,1st Floor,32,2.01,1.23,3.06,8.9,28,4,0
ONONDAGA,LYSANDER,Basement,375,5.01,2.34,3.09,89.1,275,80,20
ONONDAGA,LYSANDER,1st Floor,89,2.33,1.15,3.18,26.9,77,11,1
ONONDAGA,MANLIUS,Basement,"1,623",10.78,4.65,3.87,341.8,710,698,215
ONONDAGA,MANLIUS,1st Floor,395,5.88,2.42,4.05,101.7,242,128,25
ONONDAGA,MARCELLUS,Basement,273,5.96,3.43,2.76,98,152,108,13
ONONDAGA,MARCELLUS,1st Floor,76,3.53,1.58,3.82,37.2,58,16,2
ONONDAGA,ONONDAGA,Basement,307,10.53,5.7,3.09,89.4,124,139,44
ONONDAGA,ONONDAGA,1st Floor,81,6.06,2.51,4.31,43.2,47,28,6
ONONDAGA,OTISCO,Basement,22,7.2,3.68,3.19,40.1,12,8,2
ONONDAGA,OTISCO,1st Floor,6,6.4,4.71,2.27,18.3,3,3,0
ONONDAGA,POMPEY,Basement,111,6.69,4.66,2.6,35,39,68,4
ONONDAGA,POMPEY,1st Floor,32,2.65,1.58,3.27,10.9,24,8,0
ONONDAGA,SALINA,Basement,524,2.52,1.5,2.55,69.5,456,63,5
ONONDAGA,SALINA,1st Floor,79,1.24,0.74,2.79,11.6,76,3,0
ONONDAGA,SKANEATELES,Basement,241,8.06,2.64,3.26,348.8,162,71,8
ONONDAGA,SKANEATELES,1st Floor,69,3.41,1.18,3.47,86.8,62,5,2
ONONDAGA,SPAFFORD,Basement,17,4.16,2.55,3.3,12.2,9,8,0
ONONDAGA,SPAFFORD,1st Floor,4,1.9,1.56,2.11,3.4,4,0,0
ONONDAGA,SYRACUSE,Basement,"2,818",6.71,3.46,3.31,185.4,"1,496","1,142",180
ONONDAGA,SYRACUSE,1st Floor,749,3.7,1.4,4.08,130.6,575,156,18
ONONDAGA,TULLY,Basement,157,16.74,7.47,3.64,165.2,45,74,38
ONONDAGA,TULLY,1st Floor,69,11.48,4.17,4.05,133.4,34,25,10
ONONDAGA,VAN BUREN,Basement,138,6.68,2.63,4.29,70.1,82,43,13
ONONDAGA,VAN BUREN,1st Floor,34,1.96,0.88,3.28,23.1,30,3,1
ONTARIO,BRISTOL,Basement,9,11.6,6.93,2.51,57.2,3,5,1
ONTARIO,BRISTOL,1st Floor,6,9.27,2.85,7.95,24.9,4,0,2
ONTARIO,CANADICE,Basement,6,2.78,2.56,1.55,5.2,5,1,0
ONTARIO,CANANDAIGUA,Basement,112,3.15,1.99,2.76,29.3,88,23,1
ONTARIO,CANANDAIGUA,1st Floor,399,0.47,0.3,2.54,7.9,397,2,0
ONTARIO,E. BLOOMFIELD,Basement,39,5.16,3.64,2.37,18.6,22,17,0
ONTARIO,E. BLOOMFIELD,1st Floor,13,2.35,1.65,2.56,6.3,10,3,0
ONTARIO,FARMINGTON,Basement,84,8.16,4.26,3.17,80.4,42,33,9
ONTARIO,FARMINGTON,1st Floor,28,3.85,1.53,4.2,21.4,20,7,1
ONTARIO,GENEVA,Basement,78,2.91,2.05,2.24,32.6,61,16,1
ONTARIO,GENEVA,1st Floor,16,1.8,0.86,3.49,8.3,13,3,0
ONTARIO,GORHAM,Basement,16,5.63,2.81,3.78,29.8,11,4,1
ONTARIO,GORHAM,1st Floor,4,2.55,2.29,1.69,4.6,3,1,0
ONTARIO,HOPEWELL,Basement,6,2.58,1.52,4.17,7.2,5,1,0
ONTARIO,MANCHESTER,Basement,43,5.14,3.02,2.97,26,27,15,1
ONTARIO,MANCHESTER,1st Floor,19,2.05,1.44,2.44,5.9,16,3,0
ONTARIO,NAPLES,Basement,68,11.8,6.58,2.95,125,20,39,9
ONTARIO,NAPLES,1st Floor,39,4.89,2.78,3.11,20.4,25,13,1
ONTARIO,PHELPS,Basement,56,6.17,3.95,2.57,34.3,24,29,3
ONTARIO,PHELPS,1st Floor,24,1.39,0.99,2.32,6.9,23,1,0
ONTARIO,RICHMOND,Basement,36,2.84,2.03,2.3,15.8,29,7,0
ONTARIO,RICHMOND,1st Floor,10,1.78,1.02,3.45,6.8,9,1,0
ONTARIO,SENECA,Basement,18,4.91,3.37,2.44,16.7,10,8,0
ONTARIO,SENECA,1st Floor,75,0.63,0.28,3.13,6.8,71,4,0
ONTARIO,SO. BRISTOL,Basement,7,9.64,5.99,3.35,24.1,3,3,1
ONTARIO,SO. BRISTOL,1st Floor,5,2.84,2.54,1.67,5.3,4,1,0
ONTARIO,VICTOR,Basement,124,3.71,2.53,2.37,35.3,92,30,2
ONTARIO,VICTOR,1st Floor,32,1.3,0.83,2.56,7.2,31,1,0
ONTARIO,W. BLOOMFIELD,Basement,21,3.8,2.76,2.22,16.8,14,7,0
ONTARIO,W. BLOOMFIELD,1st Floor,6,1.67,1,3.1,5.3,5,1,0
ORANGE,BLOOMING GR.,Basement,79,4.55,2.38,3.07,70.2,53,24,2
ORANGE,BLOOMING GR.,1st Floor,32,2.27,1.27,3.17,13.8,29,3,0
ORANGE,CHESTER,Basement,66,5.17,2.45,3.61,48,40,24,2
ORANGE,CHESTER,1st Floor,37,3.22,0.9,3.92,64,32,4,1
ORANGE,CORNWALL,Basement,123,5.36,3,3,63.6,74,44,5
ORANGE,CORNWALL,1st Floor,44,2.16,1.12,3.37,19.1,37,7,0
ORANGE,CRAWFORD,Basement,32,3.48,2.26,2.59,19.2,24,8,0
ORANGE,CRAWFORD,1st Floor,6,1.17,1.02,1.8,2.4,6,0,0
ORANGE,DEER PARK,Basement,19,3.45,2.46,2.52,9.3,12,7,0
ORANGE,DEER PARK,1st Floor,6,0.7,0.39,3.35,2.4,6,0,0
ORANGE,GOSHEN,Basement,77,5.13,3,3.08,41.5,48,28,1
ORANGE,GOSHEN,1st Floor,34,1.76,1.13,2.67,6.5,29,5,0
ORANGE,GREENVILLE,Basement,17,7.04,3.93,3.01,35.6,10,6,1
ORANGE,GREENVILLE,1st Floor,7,0.83,0.73,1.78,1.4,7,0,0
ORANGE,HAMPTONBURGH,Basement,52,6.78,4.96,2.31,30.4,17,33,2
ORANGE,HAMPTONBURGH,1st Floor,18,2.16,1.3,2.94,10.7,16,2,0
ORANGE,HIGHLANDS,Basement,150,4.43,2.11,3.79,35.2,95,49,6
ORANGE,HIGHLANDS,1st Floor,126,6.32,2.9,3.18,128.7,78,44,4
ORANGE,MIDDLETOWN,Basement,214,4.86,2.48,2.73,174.3,159,46,9
ORANGE,MIDDLETOWN,1st Floor,89,1.26,0.73,2.97,9.8,82,7,0
ORANGE,MINISINK,Basement,18,8.33,2.91,3.78,71.5,13,4,1
ORANGE,MINISINK,1st Floor,9,2.81,2.08,2.54,6.8,6,3,0
ORANGE,MONROE,Basement,326,3.44,2.07,2.74,55.6,242,80,4
ORANGE,MONROE,1st Floor,153,1.8,1.08,2.82,17.1,135,18,0
ORANGE,MONTGOMERY,Basement,146,6.51,3.24,2.96,143.6,90,49,7
ORANGE,MONTGOMERY,1st Floor,48,2.68,1.72,2.76,11.1,36,12,0
ORANGE,MT. HOPE,Basement,22,6.48,3.92,2.53,46.1,11,10,1
ORANGE,MT. HOPE,1st Floor,6,5.25,2.07,3.66,24.5,5,0,1
ORANGE,NEW WINDSOR,Basement,101,4.18,2.41,3.22,31.4,60,40,1
ORANGE,NEW WINDSOR,1st Floor,44,1.91,1.11,3.23,8,39,5,0
ORANGE,NEWBURGH,Basement,286,5.55,3.28,2.72,120.6,156,122,8
ORANGE,NEWBURGH,1st Floor,103,2.4,1.35,3.08,26.2,88,14,1
ORANGE,PORT JERVIS,Basement,67,4.21,2.45,2.91,25.5,46,19,2
ORANGE,PORT JERVIS,1st Floor,17,3.25,1.2,3.79,22.3,15,1,1
ORANGE,TUXEDO,Basement,54,6.16,3.47,3.2,28.5,30,22,2
ORANGE,TUXEDO,1st Floor,16,3.08,1.57,3.97,9.1,11,5,0
ORANGE,WALLKILL,Basement,109,5.07,3.01,3.01,50.5,62,45,2
ORANGE,WALLKILL,1st Floor,41,1.68,1.05,2.86,5.4,37,4,0
ORANGE,WARWICK,Basement,404,8.65,4.22,3.07,198.8,201,169,34
ORANGE,WARWICK,1st Floor,181,3.11,1.63,3.11,48.3,141,39,1
ORANGE,WAWAYANDA,Basement,45,4.9,3.06,2.58,36.1,25,18,2
ORANGE,WAWAYANDA,1st Floor,14,1.35,1.1,1.85,4.8,13,1,0
ORANGE,WOODBURY,Basement,103,3.58,2.24,2.73,25,74,28,1
ORANGE,WOODBURY,1st Floor,29,1.56,1.03,2.71,8.2,28,1,0
ORLEANS,ALBION,Basement,12,1.66,1.55,1.49,2.7,12,0,0
ORLEANS,ALBION,1st Floor,11,0.56,0.4,2.5,1.6,11,0,0
ORLEANS,BARRE,Basement,8,6.74,2.25,4.66,38.1,6,1,1
ORLEANS,BARRE,1st Floor,3,2.63,2.06,2.39,5.1,2,1,0
ORLEANS,CARLTON,Basement,21,7.74,2.45,4.81,63.6,13,6,2
ORLEANS,CARLTON,1st Floor,9,3.04,1.22,4.22,16.4,7,2,0
ORLEANS,CLARENDON,Basement,104,4.63,2.27,2.99,47.7,79,20,5
ORLEANS,CLARENDON,1st Floor,9,1.09,0.53,3.49,4.2,8,1,0
ORLEANS,GAINES,Basement,18,3.34,2.39,2.44,9.5,12,6,0
ORLEANS,GAINES,1st Floor,4,0.8,0.65,2.29,1.4,4,0,0
ORLEANS,KENDALL,Basement,6,4.32,1.96,3.25,19.2,5,1,0
ORLEANS,KENDALL,1st Floor,4,0.6,0.52,1.97,1,4,0,0
ORLEANS,MURRAY,Basement,291,2.88,1.67,2.61,86.4,240,49,2
ORLEANS,MURRAY,1st Floor,18,1.19,0.64,2.96,7.1,17,1,0
ORLEANS,RIDGEWAY,Basement,17,2.7,1.9,2.16,14.7,15,2,0
ORLEANS,RIDGEWAY,1st Floor,8,2.11,1.86,1.71,4.9,7,1,0
ORLEANS,SHELBY,Basement,22,5.74,3.75,2.51,21.6,13,8,1
ORLEANS,SHELBY,1st Floor,10,0.97,0.77,2.13,2.1,10,0,0
ORLEANS,YATES,Basement,22,2.79,2.05,2.14,13.5,18,4,0
ORLEANS,YATES,1st Floor,5,1.1,0.96,1.94,1.5,5,0,0
OSWEGO,ALBION,Basement,7,5.8,4.08,2.51,15.1,4,3,0
OSWEGO,ALBION,1st Floor,2,1.95,1.92,1.29,2.3,2,0,0
OSWEGO,CONSTANTIA,Basement,16,1.8,0.84,3.64,12,15,1,0
OSWEGO,CONSTANTIA,1st Floor,4,0.53,0.37,2.77,1.2,4,0,0
OSWEGO,FULTON,Basement,41,3.44,1.48,3.12,56.3,35,5,1
OSWEGO,FULTON,1st Floor,10,4.32,0.89,4.55,36.5,9,0,1
OSWEGO,GRANBY,Basement,8,2.56,1.48,3.31,8.1,6,2,0
OSWEGO,GRANBY,1st Floor,2,1.7,1.3,2.97,2.8,2,0,0
OSWEGO,HANNIBAL,Basement,7,1.83,1.52,1.96,3.8,7,0,0
OSWEGO,HANNIBAL,1st Floor,2,0.6,0.6,1,0.6,2,0,0
OSWEGO,HASTINGS,Basement,23,1.8,1.47,1.96,4.9,21,2,0
OSWEGO,HASTINGS,1st Floor,3,1.07,1.02,1.46,1.5,3,0,0
OSWEGO,MEXICO,Basement,15,2.63,1.97,2.01,12,13,2,0
OSWEGO,MEXICO,1st Floor,4,0.73,0.53,3.07,1.1,4,0,0
OSWEGO,MINETTO,Basement,9,1.67,1.5,1.67,3,9,0,0
OSWEGO,NEW HAVEN,Basement,3,3.93,3.05,2.66,6.3,1,2,0
OSWEGO,NEW HAVEN,1st Floor,2,0.65,0.63,1.39,0.8,2,0,0
OSWEGO,ORWELL,Basement,4,8.93,3.84,4.04,29.6,3,0,1
OSWEGO,ORWELL,1st Floor,4,6.63,2.02,5.32,23.7,3,0,1
OSWEGO,OSWEGO,Basement,76,1.88,1.31,2.35,11.8,69,7,0
OSWEGO,OSWEGO,1st Floor,23,0.6,0.36,2.81,2.2,23,0,0
OSWEGO,PALERMO,Basement,2,1.7,0.96,5.21,3.1,2,0,0
OSWEGO,PALERMO,1st Floor,1,0.9,0.9,1,0.9,1,0,0
OSWEGO,PARISH,Basement,4,0.6,0.52,1.89,1,4,0,0
OSWEGO,PARISH,1st Floor,1,0.6,0.6,1,0.6,1,0,0
OSWEGO,REDFIELD,Basement,2,0.6,0.33,5.45,1.1,2,0,0
OSWEGO,RICHLAND,Basement,13,3.45,1.91,3.17,15.9,9,4,0
OSWEGO,RICHLAND,1st Floor,50,0.69,0.39,3,4.3,49,1,0
OSWEGO,SANDY CREEK,Basement,7,13.24,4.2,5.6,54.6,4,1,2
OSWEGO,SANDY CREEK,1st Floor,3,15.23,2.29,20.79,42.8,2,0,1
OSWEGO,SCHROEPPEL,Basement,31,2.85,1.85,2.68,18.2,25,6,0
OSWEGO,SCHROEPPEL,1st Floor,6,1.57,1.03,2.85,4.8,5,1,0
OSWEGO,SCRIBA,Basement,7,4.84,2.2,3.1,24.3,6,0,1
OSWEGO,SCRIBA,1st Floor,3,4.93,0.95,10.56,14.3,2,1,0
OSWEGO,VOLNEY,Basement,8,2,1.2,2.72,7.2,6,2,0
OSWEGO,VOLNEY,1st Floor,2,0.45,0.37,2.43,0.7,2,0,0
OSWEGO,W. MONROE,Basement,10,1.17,1.01,1.95,2,10,0,0
OSWEGO,W. MONROE,1st Floor,1,0.7,0.7,1,0.7,1,0,0
OSWEGO,WILLIAMSTOWN,Basement,5,1.3,1.28,1.24,1.6,5,0,0
OSWEGO,WILLIAMSTOWN,1st Floor,2,0.2,0.17,2.17,0.3,2,0,0
OTSEGO,BURLINGTON,Basement,25,6.94,3.94,2.89,43.9,13,11,1
OTSEGO,BURLINGTON,1st Floor,37,5.85,3.17,3.17,29,22,11,4
OTSEGO,BUTTERNUTS,Basement,18,6.3,4.51,2.31,20.3,9,8,1
OTSEGO,BUTTERNUTS,1st Floor,35,3.45,2.29,2.67,15,23,12,0
OTSEGO,CHERRY VALLEY,Basement,38,14.84,3.86,3.91,350.8,21,14,3
OTSEGO,CHERRY VALLEY,1st Floor,50,4.34,1.27,4.08,87.6,41,7,2
OTSEGO,DECATUR,Basement,4,7.28,5.87,2.01,16.6,1,3,0
OTSEGO,DECATUR,1st Floor,3,2.7,2.26,2.24,4,2,1,0
OTSEGO,EDMESTON,Basement,69,8.83,5.08,2.86,74.5,28,33,8
OTSEGO,EDMESTON,1st Floor,65,4.22,2.63,2.83,24,48,14,3
OTSEGO,EXETER,Basement,19,7.62,5.84,2.24,21.9,5,13,1
OTSEGO,EXETER,1st Floor,18,2.74,1.85,2.53,8.7,13,5,0
OTSEGO,HARTWICK,Basement,40,4.89,3.1,2.92,29.7,22,17,1
OTSEGO,HARTWICK,1st Floor,50,2.74,1.52,3.25,11.2,40,10,0
OTSEGO,LAURENS,Basement,53,8.19,4.69,2.9,57.2,25,23,5
OTSEGO,LAURENS,1st Floor,95,2.38,1.35,3.21,15.9,81,14,0
OTSEGO,MARYLAND,Basement,69,13.86,6.96,3.59,94,21,35,13
OTSEGO,MARYLAND,1st Floor,130,4.25,2.2,3.55,31,81,47,2
OTSEGO,MIDDLEFIELD,Basement,160,7.78,4.57,3.13,59.7,64,88,8
OTSEGO,MIDDLEFIELD,1st Floor,176,3.22,1.66,3.38,33.4,141,32,3
OTSEGO,MILFORD,Basement,42,7.93,4.81,3.1,38.4,19,20,3
OTSEGO,MILFORD,1st Floor,58,3.82,2.13,2.93,51.9,41,16,1
OTSEGO,MORRIS,Basement,53,7.15,4.25,2.73,46.6,26,20,7
OTSEGO,MORRIS,1st Floor,60,3.21,1.88,3.1,25.9,43,16,1
OTSEGO,NEW LISBON,Basement,11,11.74,4.28,8.46,30.8,3,6,2
OTSEGO,NEW LISBON,1st Floor,16,4.05,2.37,3.11,17.7,9,7,0
OTSEGO,ONEONTA,Basement,562,8.57,4.53,3.34,146.3,240,269,53
OTSEGO,ONEONTA,1st Floor,765,3.94,2.01,3.45,51,539,214,12
OTSEGO,OTEGO,Basement,101,9.23,4.39,3.22,80,50,40,11
OTSEGO,OTEGO,1st Floor,91,4.89,1.93,3.63,81.8,68,19,4
OTSEGO,OTSEGO,Basement,71,11.16,6.17,3.17,50.2,23,37,11
OTSEGO,OTSEGO,1st Floor,92,4.65,3.14,2.73,20.4,52,39,1
OTSEGO,PITTSFIELD,Basement,4,9.13,2.57,10.95,26.8,2,1,1
OTSEGO,PITTSFIELD,1st Floor,3,0.7,0.44,3.85,1.4,3,0,0
OTSEGO,PLAINFIELD,Basement,4,4.33,2.86,3.04,9.3,2,2,0
OTSEGO,PLAINFIELD,1st Floor,8,3.5,1.56,3.92,11.4,6,2,0
OTSEGO,RICHFIELD,Basement,45,3.98,2.2,3.36,31.6,31,13,1
OTSEGO,RICHFIELD,1st Floor,83,1.63,1.01,2.95,9.5,75,8,0
OTSEGO,ROSEBOOM,Basement,6,2.88,2.4,1.95,5.8,4,2,0
OTSEGO,ROSEBOOM,1st Floor,6,3.75,3.09,1.95,7.6,4,2,0
OTSEGO,SPRINGFIELD,Basement,22,6.35,3.51,3.63,26,12,9,1
OTSEGO,SPRINGFIELD,1st Floor,21,2.27,1.44,3.17,8.8,17,4,0
OTSEGO,UNADILLA,Basement,68,11.36,3.89,4.03,299.7,32,28,8
OTSEGO,UNADILLA,1st Floor,80,4.47,2.21,3.58,32.6,52,26,2
OTSEGO,WESTFORD,Basement,12,4.93,3.08,3.48,10.1,5,7,0
OTSEGO,WESTFORD,1st Floor,13,4.57,3.27,2.47,12.2,7,6,0
OTSEGO,WORCESTER,Basement,62,11.43,5.9,3.24,76.3,26,25,11
OTSEGO,WORCESTER,1st Floor,75,4.7,1.94,4.22,42.3,51,22,2
OUT OF STATE,OUT OF STATE,Basement,201,3.93,2.22,3.02,52.1,139,59,3
OUT OF STATE,OUT OF STATE,1st Floor,61,2.36,1.18,3.63,19.5,52,9,0
PUTNAM,CARMEL,Basement,451,4.36,2.46,2.69,235.2,305,139,7
PUTNAM,CARMEL,1st Floor,145,4.67,1.6,3.31,254.7,121,19,5
PUTNAM,KENT,Basement,90,5.6,3.51,2.7,40.6,46,41,3
PUTNAM,KENT,1st Floor,37,4.04,2.2,3.06,41.9,26,10,1
PUTNAM,PATTERSON,Basement,83,3.32,1.97,2.76,39.2,63,19,1
PUTNAM,PATTERSON,1st Floor,27,1.48,0.93,2.88,5.4,25,2,0
PUTNAM,PHILIPSTOWN,Basement,139,7.25,3.95,3.13,74.6,72,59,8
PUTNAM,PHILIPSTOWN,1st Floor,77,2.79,1.76,2.85,13.1,62,15,0
PUTNAM,PUTNAM VALLEY,Basement,164,5.49,3.48,2.63,34.2,94,62,8
PUTNAM,PUTNAM VALLEY,1st Floor,65,2.23,1.37,2.82,14.7,55,10,0
PUTNAM,SOUTHEAST,Basement,179,3.13,1.77,3,43.7,142,35,2
PUTNAM,SOUTHEAST,1st Floor,46,1.85,0.96,3.13,13.7,42,4,0
RENSSELAER,BERLIN,Basement,29,8.93,6.33,2.39,36.1,9,17,3
RENSSELAER,BERLIN,1st Floor,14,1.86,1.17,3.11,4.9,12,2,0
